reference_id;reference_date;user-reference_id;shop-reference_id;total_amount;total_discount;channel
1;2024-04-12;879;1;109.99;38.25;mobile
2;2022-09-29;713;2;365.45;8.55;e-commerce
3;2024-06-22;687;3;103.22;24.36;mobile
4;2023-05-25;455;3;111.83;27.7;mobile
5;2024-01-06;378;2;158.61;13.98;e-commerce
6;2024-01-27;864;1;242.25;41.09;mobile
7;2024-01-30;130;2;434.82;8.08;e-commerce
8;2022-02-03;559;2;296.9;20.13;e-commerce
9;2024-10-18;924;2;339.07;44.12;e-commerce
10;2022-04-17;770;2;277.94;3.05;mobile
11;2022-09-20;763;2;183.33;48.6;retail
12;2022-12-28;355;2;443.92;19.67;e-commerce
13;2024-03-22;552;3;426.38;41.55;mobile
14;2023-02-20;924;2;11.43;29.97;mobile
15;2022-02-20;206;1;436.57;9.9;e-commerce
16;2024-03-10;334;2;232.11;28.72;e-commerce
17;2024-02-09;904;3;478.71;4.62;retail
18;2022-06-25;352;2;285.89;45.41;e-commerce
19;2023-09-10;858;2;370.89;22.03;retail
20;2024-09-09;833;3;354.18;35.03;e-commerce
21;2022-09-18;243;2;490.37;30.55;e-commerce
22;2024-02-06;322;2;295.2;23.89;mobile
23;2024-01-22;59;2;24.48;5.78;mobile
24;2024-02-24;970;2;51.52;9.37;retail
25;2024-07-30;529;3;419.49;37.81;e-commerce
26;2024-06-09;668;3;112.75;43.36;e-commerce
27;2024-12-29;797;1;476.24;38.48;mobile
28;2023-04-30;955;3;66.19;45.15;e-commerce
29;2022-07-12;337;2;315.22;3.47;mobile
30;2022-07-31;496;3;163.0;49.99;mobile
31;2023-11-10;81;3;195.78;15.95;e-commerce
32;2024-11-26;502;1;213.02;44.54;retail
33;2023-02-01;853;3;480.17;32.46;mobile
34;2022-05-16;874;2;491.15;40.22;retail
35;2025-02-17;75;3;188.64;36.74;e-commerce
36;2024-09-13;481;2;272.78;28.12;mobile
37;2023-06-05;897;2;61.85;7.82;mobile
38;2022-09-12;970;1;29.3;10.78;mobile
39;2022-06-28;988;1;401.52;40.63;mobile
40;2023-12-18;800;3;37.24;16.81;retail
41;2022-06-22;694;3;319.18;14.73;retail
42;2025-03-02;939;2;285.79;6.33;mobile
43;2024-05-04;644;1;75.05;22.03;mobile
44;2023-05-27;962;2;246.64;48.01;retail
45;2023-09-30;664;3;408.91;42.42;e-commerce
46;2022-06-12;844;3;273.4;3.75;retail
47;2023-05-17;664;2;87.58;41.96;e-commerce
48;2022-10-25;754;2;168.8;23.25;mobile
49;2025-03-27;21;2;262.83;2.95;mobile
50;2024-03-17;140;2;367.04;6.71;retail
51;2025-02-25;450;1;309.4;14.69;retail
52;2022-05-13;722;2;230.15;45.48;e-commerce
53;2024-08-07;198;2;141.9;5.75;mobile
54;2023-06-08;686;3;116.2;48.1;e-commerce
55;2023-05-15;491;1;335.0;42.55;mobile
56;2023-06-21;346;2;319.56;31.98;mobile
57;2023-09-24;41;1;180.31;7.92;mobile
58;2025-01-15;795;3;279.3;6.29;retail
59;2025-03-30;854;2;379.63;47.32;mobile
60;2024-11-18;564;1;497.67;5.96;retail
61;2022-12-20;831;1;31.38;39.29;e-commerce
62;2024-07-28;172;1;228.2;16.22;retail
63;2023-05-13;134;3;185.29;27.93;mobile
64;2023-10-23;120;3;277.3;3.22;e-commerce
65;2024-04-11;819;2;489.34;1.1;retail
66;2024-01-20;376;1;401.24;18.74;e-commerce
67;2025-03-16;808;1;35.84;17.82;e-commerce
68;2023-07-13;44;3;346.65;23.6;e-commerce
69;2024-01-08;479;2;498.29;4.48;mobile
70;2023-05-26;504;1;80.96;10.83;e-commerce
71;2024-11-03;823;3;113.69;7.37;mobile
72;2022-03-17;75;2;416.09;15.87;e-commerce
73;2024-01-25;675;1;479.22;11.96;retail
74;2024-11-21;752;1;62.58;6.14;e-commerce
75;2022-04-24;474;2;331.86;36.96;e-commerce
76;2024-04-09;686;1;251.03;31.39;e-commerce
77;2024-07-08;870;2;88.93;45.3;retail
78;2022-08-16;593;2;431.95;24.26;mobile
79;2022-05-17;254;3;135.73;1.73;mobile
80;2023-06-11;467;2;56.59;19.78;e-commerce
81;2024-12-01;209;3;363.3;17.43;e-commerce
82;2023-01-03;328;1;46.07;38.12;e-commerce
83;2023-12-09;295;1;287.94;39.79;e-commerce
84;2023-07-19;196;1;415.83;43.43;e-commerce
85;2022-01-23;666;2;491.4;3.96;retail
86;2023-03-28;775;2;125.14;12.07;retail
87;2025-01-17;322;3;328.05;49.3;e-commerce
88;2024-08-25;961;1;241.39;29.83;mobile
89;2022-08-20;95;1;496.54;12.65;mobile
90;2023-12-07;179;1;77.39;12.54;mobile
91;2024-05-11;73;1;360.46;49.26;e-commerce
92;2022-05-13;225;3;125.22;20.99;e-commerce
93;2024-08-30;121;1;463.97;32.03;e-commerce
94;2022-08-10;997;1;311.4;38.52;e-commerce
95;2022-02-04;838;1;284.34;34.25;e-commerce
96;2023-07-23;105;1;125.38;11.87;e-commerce
97;2024-04-03;197;1;38.68;21.77;e-commerce
98;2024-12-30;584;3;339.97;12.12;retail
99;2024-09-01;384;2;48.18;40.89;e-commerce
100;2022-10-06;822;1;305.93;44.17;e-commerce
