ticket-reference_id;product-reference_id;quantity;price;variation_id
1;36;3;98.5;3
2;46;1;93.46;8
2;20;2;62.97;8
2;37;3;38.15;9
2;13;2;93.4;6
2;5;1;45.27;0
3;50;1;80.34;5
3;6;1;70.87;0
4;26;2;18.13;10
5;38;2;81.66;5
6;39;4;39.67;6
6;15;3;25.69;1
6;25;2;65.55;9
7;41;3;70.19;3
7;24;5;75.96;6
7;48;5;85.53;0
7;48;3;77.99;1
7;24;2;50.94;8
8;47;4;84.84;1
8;38;1;49.15;10
8;21;2;81.06;5
8;46;5;52.92;5
8;45;5;32.49;9
9;44;2;74.14;7
9;24;3;69.23;5
9;33;5;26.21;4
9;45;3;8.39;8
9;48;5;73.68;3
10;15;2;57.39;6
10;29;4;16.93;7
11;13;4;84.08;1
11;48;4;75.67;9
11;11;2;63.7;8
12;25;1;6.15;8
12;2;1;46.46;4
13;24;2;66.71;2
13;35;2;58.11;7
13;36;1;16.68;8
14;43;1;64.99;10
14;45;4;95.2;4
14;6;2;90.38;3
14;42;3;45.3;1
15;13;1;12.97;3
15;37;4;22.51;4
15;45;3;96.05;2
16;11;3;84.79;10
17;16;3;8.15;5
17;40;4;47.0;6
17;10;5;8.54;5
17;30;4;92.07;6
18;5;3;66.87;4
18;22;1;13.8;1
18;32;1;7.11;8
18;39;5;75.5;7
19;6;2;44.89;3
20;12;1;48.0;4
20;15;2;19.81;6
20;11;5;25.05;9
20;6;3;10.76;7
20;45;1;80.11;0
21;10;4;87.32;6
21;23;1;58.6;10
21;33;2;28.02;0
21;26;5;31.14;7
21;26;4;8.87;8
22;41;2;40.81;6
22;21;2;35.28;7
23;24;5;50.07;9
23;6;4;28.06;5
23;27;5;93.23;0
23;18;1;91.06;6
23;44;5;18.52;0
24;49;5;79.2;9
24;7;2;62.27;0
25;10;5;69.46;3
26;7;1;81.84;8
27;6;4;37.78;5
27;36;1;19.83;8
27;47;4;90.69;2
27;32;4;68.26;3
27;22;5;23.7;1
28;44;1;46.25;2
28;48;3;26.94;9
28;29;5;84.79;0
29;3;2;90.74;4
29;10;1;43.16;6
29;23;4;34.88;4
30;28;3;83.69;3
30;20;3;68.71;5
30;14;1;73.73;5
30;10;3;88.09;8
30;38;5;80.46;2
31;22;2;12.91;6
31;46;1;70.54;2
31;22;1;97.52;1
31;17;2;12.68;8
31;27;1;43.23;2
32;41;1;40.58;7
32;1;4;32.18;0
32;37;3;18.27;2
32;40;1;44.82;1
32;40;1;48.07;5
33;19;3;24.89;3
33;37;5;34.04;8
33;4;2;37.53;4
34;42;5;44.85;2
34;25;5;22.87;4
34;42;4;20.11;7
34;7;1;97.1;3
34;14;2;54.21;10
35;18;3;74.83;5
35;7;1;34.55;6
36;25;2;90.47;9
37;19;5;72.91;4
37;41;5;26.09;10
37;11;1;44.85;4
37;41;4;65.88;0
38;42;2;18.35;3
38;36;3;75.08;8
38;31;3;54.96;10
38;16;5;84.48;8
39;50;1;75.67;4
39;38;1;18.17;3
39;12;5;88.42;10
40;3;2;13.15;9
40;5;4;30.04;8
40;35;5;51.78;9
41;36;1;85.26;1
41;31;2;54.16;0
41;26;2;24.31;2
41;35;3;89.54;6
41;38;2;21.75;0
42;50;3;11.4;3
42;16;4;72.5;9
42;23;3;86.01;1
42;18;4;52.17;9
43;21;1;17.15;6
43;13;2;72.9;0
43;41;3;50.93;6
43;16;3;46.0;9
44;11;2;55.67;7
44;14;3;87.87;2
45;12;5;33.59;0
45;23;1;40.73;1
45;18;1;54.51;6
45;36;5;39.37;10
46;16;1;24.67;8
46;17;3;42.03;8
